"UID","BID","Score"
6589,26307,5.0
6589,9790,4.5
6589,60931,4.5
6589,34305,5.0
6589,54810,5.0
6589,481,4.0
6589,80313,0.5
6589,107005,4.5
6589,107030,1.0
6589,259500,4.0
6589,33735,4.0
6589,263040,4.5
6589,8636,5.0
6589,10246,5.0
