"UID","BID","Score"
12791,26307,5.0
12791,9790,4.5
12791,60931,4.5
12791,34305,5.0
12791,54810,5.0
12791,481,4.0
12791,80313,0.5
12791,107005,4.5
12791,107030,1.0
12791,259500,4.0
12791,33735,4.0
