"UID","BID","Score"
12792,34083,5.0
12792,34084,5.0
12792,28428,5.0
12792,28427,5.0
12792,28426,5.0
12792,28419,5.0
12792,21440,5.0
12792,21429,5.0
12792,20206,5.0
12792,20167,5.0
