"UID","BID","Score"
68140,34083,5.0
68140,34084,5.0
68140,28428,5.0
68140,28427,5.0
68140,28426,5.0
68140,28419,5.0
68140,21440,5.0
68140,21429,5.0
68140,20206,5.0
68140,20167,5.0
